;Unnamed: 0_x;Interactor2.Symbol;Protein;Protein names;UniProt Localization;HPA Localization;OpenCell Localization;SimChrom Category;SimChrom-SL Category;MS-based studies;Abundance, ppm;PFAM;Protein length;Protein complexes;RNAInterID;Interactor1.Symbol;Category1;Species1;Category2;Species2;Raw_ID1;Raw_ID2;score;strong;weak;predict;Unnamed: 0_y;ensemblID;logFC;AveExpr;t;P.Value;adj.P.Val;B
3009;1100461;FTO;Q9C0B1;Alpha-ketoglutarate-dependent dioxygenase FTO (U6 small nuclear RNA (2'-O-methyladenosine-N(6)-)-demethylase FTO);Cytoplasm (ECO:0000269), Nucleus (ECO:0000269), Nucleus speckle (ECO:0000269);Cytosol (Supported);;DNA-acting enzymes, DNA de_methylation, DNA metabolic processes, DNA repair;DNA de_methylation;"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014";28.8;"FTO_NTD(FTO catalytic domain,PF12933);FTO_CTD(FTO C-terminal domain,PF12934)";505;;RP35304541;LINC00667;lncRNA;Homo sapiens;protein;Homo sapiens;NCBI:339290;NCBI:79068;0.3214;CLIP;eCLIP;;2740;ENSG00000263753;-2.51117823961993;2.70237682518895;-9.94075365615122;5.001889892832109e-12;1.84587287536357e-10;17.3361252363185
3010;1100593;FTO;Q9C0B1;Alpha-ketoglutarate-dependent dioxygenase FTO (U6 small nuclear RNA (2'-O-methyladenosine-N(6)-)-demethylase FTO);Cytoplasm (ECO:0000269), Nucleus (ECO:0000269), Nucleus speckle (ECO:0000269);Cytosol (Supported);;DNA-acting enzymes, DNA de_methylation, DNA metabolic processes, DNA repair;DNA de_methylation;"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014";28.8;"FTO_NTD(FTO catalytic domain,PF12933);FTO_CTD(FTO C-terminal domain,PF12934)";505;;RP33770781;XIST;lncRNA;Homo sapiens;RBP;Homo sapiens;NCBI:7503;NCBI:79068;0.3214;CLIP;eCLIP//HITS-CLIP;;718;ENSG00000229807;-6.57326935078366;1.54159830942689;-4.14945804433362;0.0001856278660776;0.0008424341236124;0.0917621252499083
3011;163465;BARD1;Q99728;BRCA1-associated RING domain protein 1 (BARD-1);;Nuclear speckles (Supported), Nucleoplasm (Supported);;DNA metabolic processes, DNA replication, DNA recombination;DNA recombination;"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Itzhak et al., 2016; Kustatscher et al., 2014; Ugur et al., 2023";0.514;"BRCT(BRCA1 C Terminus (BRCT) domain,PF00533);zf-RING_6(zf-RING of BARD1-type protein,PF14835);Ank(Ankyrin repeat,PF00023);Ank(Ankyrin repeat,PF00023);Ank(Ankyrin repeat,PF00023)";777;"BRCA1-BARD1 complex,CPX-715,ECO:0000353(physical interaction evidence used in manual assertion);BRCC E3 ubiquitin ligase complex,CPX-955,ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)";RP10016530;XIST;lncRNA;Homo sapiens;protein;Homo sapiens;NCBI:7503;NCBI:580;0.2564;FISH//RIP;;;718;ENSG00000229807;-6.57326935078366;1.54159830942689;-4.14945804433362;0.0001856278660776;0.0008424341236124;0.0917621252499083
4436;3468307;UPF1;Q92900;Regulator of nonsense transcripts 1;Cytoplasm (ECO:0000269), Nucleus (ECO:0000269), Perinuclear region (ECO:0000250);Cytosol (Supported), Nucleoplasm (Supported);cytoplasmic (annotations_grade_3);DNA-acting enzymes, DNA metabolic processes, DNA replication, Telomere-associated;DNA-acting enzymes;"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Shi et al., 2021; Torrente et al., 2011";90.8;"UPF1_Zn_bind(RNA helicase (UPF2 interacting domain),PF09416);AAA_11(AAA domain,PF13086);AAA_11(AAA domain,PF13086);AAA_12(AAA domain,PF13087);UPF1_1B_dom(RNA helicase UPF1, 1B domain,PF18141)";1129;;RP08860439;FAM225A;lncRNA;Homo sapiens;RBP;Homo sapiens;NCBI:286333;NCBI:5976;0.2372;CLIP;iCLIP//CLIP-seq;;861;ENSG00000231528;-1.75353117181884;-1.61684923410865;-7.12345495217864;1.86929863631861e-08;2.27287264826369e-07;9.15559815099274
4437;3468308;UPF1;Q92900;Regulator of nonsense transcripts 1;Cytoplasm (ECO:0000269), Nucleus (ECO:0000269), Perinuclear region (ECO:0000250);Cytosol (Supported), Nucleoplasm (Supported);cytoplasmic (annotations_grade_3);DNA-acting enzymes, DNA metabolic processes, DNA replication, Telomere-associated;DNA-acting enzymes;"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Shi et al., 2021; Torrente et al., 2011";90.8;"UPF1_Zn_bind(RNA helicase (UPF2 interacting domain),PF09416);AAA_11(AAA domain,PF13086);AAA_11(AAA domain,PF13086);AAA_12(AAA domain,PF13087);UPF1_1B_dom(RNA helicase UPF1, 1B domain,PF18141)";1129;;RP34872291;FAM225B;lncRNA;Homo sapiens;protein;Homo sapiens;NCBI:100128385;NCBI:5976;0.2372;CLIP;;;395;ENSG00000225684;-1.61030932448821;-1.87837550245342;-7.75219932475669;2.7599855603138602e-09;4.1174678199434e-08;11.057050791022
4438;3468484;UPF1;Q92900;Regulator of nonsense transcripts 1;Cytoplasm (ECO:0000269), Nucleus (ECO:0000269), Perinuclear region (ECO:0000250);Cytosol (Supported), Nucleoplasm (Supported);cytoplasmic (annotations_grade_3);DNA-acting enzymes, DNA metabolic processes, DNA replication, Telomere-associated;DNA-acting enzymes;"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Shi et al., 2021; Torrente et al., 2011";90.8;"UPF1_Zn_bind(RNA helicase (UPF2 interacting domain),PF09416);AAA_11(AAA domain,PF13086);AAA_11(AAA domain,PF13086);AAA_12(AAA domain,PF13087);UPF1_1B_dom(RNA helicase UPF1, 1B domain,PF18141)";1129;;RP08860217;GAS5;lncRNA;Homo sapiens;RBP;Homo sapiens;NCBI:60674;NCBI:5976;0.4156;CLIP;PAR-CLIP//eCLIP//HITS-CLIP//iCLIP//CLIP-seq;;1098;ENSG00000234741;-2.56041864444156;3.87237361491495;-7.93865419283863;1.5767911812111202e-09;2.58115194527439e-08;11.6138519668715
4449;3468864;UPF1;Q92900;Regulator of nonsense transcripts 1;Cytoplasm (ECO:0000269), Nucleus (ECO:0000269), Perinuclear region (ECO:0000250);Cytosol (Supported), Nucleoplasm (Supported);cytoplasmic (annotations_grade_3);DNA-acting enzymes, DNA metabolic processes, DNA replication, Telomere-associated;DNA-acting enzymes;"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Shi et al., 2021; Torrente et al., 2011";90.8;"UPF1_Zn_bind(RNA helicase (UPF2 interacting domain),PF09416);AAA_11(AAA domain,PF13086);AAA_11(AAA domain,PF13086);AAA_12(AAA domain,PF13087);UPF1_1B_dom(RNA helicase UPF1, 1B domain,PF18141)";1129;;RP08860265;IQCH-AS1;lncRNA;Homo sapiens;RBP;Homo sapiens;NCBI:100506686;NCBI:5976;0.345;CLIP;HITS-CLIP//CLIP-seq//PAR-CLIP;;2357;ENSG00000259673;-2.36524264156248;-0.0326418860202442;-8.03552475053475;1.1805743112048e-09;2.01897403546284e-08;11.9017115063395
4450;3468901;UPF1;Q92900;Regulator of nonsense transcripts 1;Cytoplasm (ECO:0000269), Nucleus (ECO:0000269), Perinuclear region (ECO:0000250);Cytosol (Supported), Nucleoplasm (Supported);cytoplasmic (annotations_grade_3);DNA-acting enzymes, DNA metabolic processes, DNA replication, Telomere-associated;DNA-acting enzymes;"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Shi et al., 2021; Torrente et al., 2011";90.8;"UPF1_Zn_bind(RNA helicase (UPF2 interacting domain),PF09416);AAA_11(AAA domain,PF13086);AAA_11(AAA domain,PF13086);AAA_12(AAA domain,PF13087);UPF1_1B_dom(RNA helicase UPF1, 1B domain,PF18141)";1129;;RP08860456;JPX;lncRNA;Homo sapiens;RBP;Homo sapiens;NCBI:554203;NCBI:5976;0.4375;CLIP;PAR-CLIP//eCLIP//HITS-CLIP//iCLIP//CLIP-seq;;374;ENSG00000225470;-1.81667140678558;3.58380683530008;-7.33868036440905;9.67227303315251e-09;1.24819793406358e-07;9.810288704289
4457;3469095;UPF1;Q92900;Regulator of nonsense transcripts 1;Cytoplasm (ECO:0000269), Nucleus (ECO:0000269), Perinuclear region (ECO:0000250);Cytosol (Supported), Nucleoplasm (Supported);cytoplasmic (annotations_grade_3);DNA-acting enzymes, DNA metabolic processes, DNA replication, Telomere-associated;DNA-acting enzymes;"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Shi et al., 2021; Torrente et al., 2011";90.8;"UPF1_Zn_bind(RNA helicase (UPF2 interacting domain),PF09416);AAA_11(AAA domain,PF13086);AAA_11(AAA domain,PF13086);AAA_12(AAA domain,PF13087);UPF1_1B_dom(RNA helicase UPF1, 1B domain,PF18141)";1129;;RP10146847;LINC00265;lncRNA;Homo sapiens;RBP;Homo sapiens;NCBI:349114;NCBI:5976;0.2372;CLIP;CLIP-seq;;82;ENSG00000188185;-2.2966618158003;0.721994064943969;-10.8578763845317;4.25262219587215e-13;2.4848307747269597e-11;19.7835899009205
4459;3469140;UPF1;Q92900;Regulator of nonsense transcripts 1;Cytoplasm (ECO:0000269), Nucleus (ECO:0000269), Perinuclear region (ECO:0000250);Cytosol (Supported), Nucleoplasm (Supported);cytoplasmic (annotations_grade_3);DNA-acting enzymes, DNA metabolic processes, DNA replication, Telomere-associated;DNA-acting enzymes;"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Shi et al., 2021; Torrente et al., 2011";90.8;"UPF1_Zn_bind(RNA helicase (UPF2 interacting domain),PF09416);AAA_11(AAA domain,PF13086);AAA_11(AAA domain,PF13086);AAA_12(AAA domain,PF13087);UPF1_1B_dom(RNA helicase UPF1, 1B domain,PF18141)";1129;;RP09458343;LINC00630;lncRNA;Homo sapiens;RBP;Homo sapiens;NCBI:100287765;NCBI:5976;0.4375;CLIP;eCLIP//CLIP-seq//iCLIP//PAR-CLIP;;247;ENSG00000223546;-2.26301235070402;0.462538646230177;-7.84374214675453;2.09574721751214e-09;3.31458967822315e-08;11.3308619374593
4464;3469153;UPF1;Q92900;Regulator of nonsense transcripts 1;Cytoplasm (ECO:0000269), Nucleus (ECO:0000269), Perinuclear region (ECO:0000250);Cytosol (Supported), Nucleoplasm (Supported);cytoplasmic (annotations_grade_3);DNA-acting enzymes, DNA metabolic processes, DNA replication, Telomere-associated;DNA-acting enzymes;"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Shi et al., 2021; Torrente et al., 2011";90.8;"UPF1_Zn_bind(RNA helicase (UPF2 interacting domain),PF09416);AAA_11(AAA domain,PF13086);AAA_11(AAA domain,PF13086);AAA_12(AAA domain,PF13087);UPF1_1B_dom(RNA helicase UPF1, 1B domain,PF18141)";1129;;RP08860321;LINC00665;lncRNA;Homo sapiens;RBP;Homo sapiens;NCBI:100506930;NCBI:5976;0.345;CLIP;HITS-CLIP//CLIP-seq//iCLIP//PAR-CLIP;;946;ENSG00000232677;-2.48408296009301;0.195874356526333;-6.26477681548624;2.67587339187264e-07;2.41859696100483e-06;6.51542954889168
4470;3467970;UPF1;Q92900;Regulator of nonsense transcripts 1;Cytoplasm (ECO:0000269), Nucleus (ECO:0000269), Perinuclear region (ECO:0000250);Cytosol (Supported), Nucleoplasm (Supported);cytoplasmic (annotations_grade_3);DNA-acting enzymes, DNA metabolic processes, DNA replication, Telomere-associated;DNA-acting enzymes;"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Shi et al., 2021; Torrente et al., 2011";90.8;"UPF1_Zn_bind(RNA helicase (UPF2 interacting domain),PF09416);AAA_11(AAA domain,PF13086);AAA_11(AAA domain,PF13086);AAA_12(AAA domain,PF13087);UPF1_1B_dom(RNA helicase UPF1, 1B domain,PF18141)";1129;;RP08860480;DISC1FP1;lncRNA;Homo sapiens;RBP;Homo sapiens;NCBI:101929222;NCBI:5976;0.2372;CLIP;HITS-CLIP;;2642;ENSG00000261645;-1.57960787827338;-2.09187619416356;-5.74915221319155;1.34209915776998e-06;9.95804436814516e-06;4.92061532040349
4472;3468230;UPF1;Q92900;Regulator of nonsense transcripts 1;Cytoplasm (ECO:0000269), Nucleus (ECO:0000269), Perinuclear region (ECO:0000250);Cytosol (Supported), Nucleoplasm (Supported);cytoplasmic (annotations_grade_3);DNA-acting enzymes, DNA metabolic processes, DNA replication, Telomere-associated;DNA-acting enzymes;"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Shi et al., 2021; Torrente et al., 2011";90.8;"UPF1_Zn_bind(RNA helicase (UPF2 interacting domain),PF09416);AAA_11(AAA domain,PF13086);AAA_11(AAA domain,PF13086);AAA_12(AAA domain,PF13087);UPF1_1B_dom(RNA helicase UPF1, 1B domain,PF18141)";1129;;RP09911526;ERVK13-1;lncRNA;Homo sapiens;RBP;Homo sapiens;NCBI:100507321;NCBI:5976;0.3779;CLIP;CLIP-seq//iCLIP//PAR-CLIP;;2496;ENSG00000260565;-2.1793751357727;3.37818926211326;-7.65464711208258;3.7045425106337803e-09;5.33733230898503e-08;10.7643564661693
4473;3468206;UPF1;Q92900;Regulator of nonsense transcripts 1;Cytoplasm (ECO:0000269), Nucleus (ECO:0000269), Perinuclear region (ECO:0000250);Cytosol (Supported), Nucleoplasm (Supported);cytoplasmic (annotations_grade_3);DNA-acting enzymes, DNA metabolic processes, DNA replication, Telomere-associated;DNA-acting enzymes;"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Shi et al., 2021; Torrente et al., 2011";90.8;"UPF1_Zn_bind(RNA helicase (UPF2 interacting domain),PF09416);AAA_11(AAA domain,PF13086);AAA_11(AAA domain,PF13086);AAA_12(AAA domain,PF13087);UPF1_1B_dom(RNA helicase UPF1, 1B domain,PF18141)";1129;;RP08860386;EPB41L4A-AS1;lncRNA;Homo sapiens;RBP;Homo sapiens;NCBI:114915;NCBI:5976;0.4375;CLIP;PAR-CLIP//eCLIP//HITS-CLIP//iCLIP//CLIP-seq;;285;ENSG00000224032;-2.55110776467953;0.623872226190378;-8.55111286415612;2.57565840171701e-10;5.081461628800851e-09;13.4163564845539
4478;3471422;UPF1;Q92900;Regulator of nonsense transcripts 1;Cytoplasm (ECO:0000269), Nucleus (ECO:0000269), Perinuclear region (ECO:0000250);Cytosol (Supported), Nucleoplasm (Supported);cytoplasmic (annotations_grade_3);DNA-acting enzymes, DNA metabolic processes, DNA replication, Telomere-associated;DNA-acting enzymes;"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Shi et al., 2021; Torrente et al., 2011";90.8;"UPF1_Zn_bind(RNA helicase (UPF2 interacting domain),PF09416);AAA_11(AAA domain,PF13086);AAA_11(AAA domain,PF13086);AAA_12(AAA domain,PF13087);UPF1_1B_dom(RNA helicase UPF1, 1B domain,PF18141)";1129;;RP08860212;SNHG1;lncRNA;Homo sapiens;RBP;Homo sapiens;NCBI:23642;NCBI:5976;0.4156;CLIP;PAR-CLIP//eCLIP//HITS-CLIP//iCLIP//CLIP-seq;;2023;ENSG00000255717;-3.1343954975797;3.5255615293517;-12.1724795306288;1.50067688859263e-14;2.52533906812367e-12;23.0956312855758
4480;3471426;UPF1;Q92900;Regulator of nonsense transcripts 1;Cytoplasm (ECO:0000269), Nucleus (ECO:0000269), Perinuclear region (ECO:0000250);Cytosol (Supported), Nucleoplasm (Supported);cytoplasmic (annotations_grade_3);DNA-acting enzymes, DNA metabolic processes, DNA replication, Telomere-associated;DNA-acting enzymes;"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Shi et al., 2021; Torrente et al., 2011";90.8;"UPF1_Zn_bind(RNA helicase (UPF2 interacting domain),PF09416);AAA_11(AAA domain,PF13086);AAA_11(AAA domain,PF13086);AAA_12(AAA domain,PF13087);UPF1_1B_dom(RNA helicase UPF1, 1B domain,PF18141)";1129;;RP08860423;SNHG15;lncRNA;Homo sapiens;RBP;Homo sapiens;NCBI:285958;NCBI:5976;0.4375;CLIP;PAR-CLIP//eCLIP//HITS-CLIP//iCLIP//CLIP-seq;;966;ENSG00000232956;-2.77917597283892;1.81941702980103;-9.99049401552001;4.36370990206709e-12;1.65388536558525e-10;17.4717593121349
4481;3471427;UPF1;Q92900;Regulator of nonsense transcripts 1;Cytoplasm (ECO:0000269), Nucleus (ECO:0000269), Perinuclear region (ECO:0000250);Cytosol (Supported), Nucleoplasm (Supported);cytoplasmic (annotations_grade_3);DNA-acting enzymes, DNA metabolic processes, DNA replication, Telomere-associated;DNA-acting enzymes;"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Shi et al., 2021; Torrente et al., 2011";90.8;"UPF1_Zn_bind(RNA helicase (UPF2 interacting domain),PF09416);AAA_11(AAA domain,PF13086);AAA_11(AAA domain,PF13086);AAA_12(AAA domain,PF13087);UPF1_1B_dom(RNA helicase UPF1, 1B domain,PF18141)";1129;;RP08860298;SNHG16;lncRNA;Homo sapiens;RBP;Homo sapiens;NCBI:100507246;NCBI:5976;0.4375;CLIP;PAR-CLIP//eCLIP//HITS-CLIP//iCLIP//CLIP-seq;;17;ENSG00000163597;-1.76574685009836;3.88332039022155;-7.2253013716623;1.36790691052561e-08;1.73860555062877e-07;9.46585361999884
